C:\WPy-3702\python-3.7.0.amd64\python.exe "C:/Users/Motaz Saad/PycharmProjects/lexicon-based-sa-unemployment/find_overlaps.py"
مهان neg.txt very_neg.txt
فاشلين neg.txt very_neg.txt
جرائم neg.txt very_neg.txt
موجعه neg.txt very_neg.txt
استهتار neg.txt very_neg.txt
المعاناه neg.txt very_neg.txt
احذركم neg.txt very_neg.txt
منخرعة neg.txt very_neg.txt
جشعهم neg.txt very_neg.txt
تهم neg.txt very_neg.txt
غاضب neg.txt very_neg.txt
بغض neg.txt very_neg.txt
عبء neg.txt very_neg.txt
مسبات neg.txt very_neg.txt
ويستهزي neg.txt very_neg.txt
دمرونا neg.txt very_neg.txt
بالينا neg.txt very_neg.txt
متضايق neg.txt very_neg.txt
يفجر neg.txt very_neg.txt
قاسيه neg.txt very_neg.txt
عجز neg.txt very_neg.txt
يتجاهلونا neg.txt very_neg.txt
بشع neg.txt very_neg.txt
يتجاهلونكم neg.txt very_neg.txt
سافلات neg.txt very_neg.txt
غباء neg.txt very_neg.txt
وهمي neg.txt very_neg.txt
ضحيه neg.txt very_neg.txt
افساد neg.txt very_neg.txt
يعادونهم neg.txt very_neg.txt
غرور neg.txt very_neg.txt
يعادونكم neg.txt very_neg.txt
بالينهم neg.txt very_neg.txt
معقد neg.txt very_neg.txt
متبلي neg.txt very_neg.txt
يفضلوا neg.txt very_pos.txt
يفرجون neg.txt very_pos.txt
ينصرنا neg.txt very_pos.txt
مستغنيات neg.txt very_pos.txt
تفرج neg.txt very_pos.txt
مستغنيه neg.txt very_pos.txt
فرجوا neg.txt very_pos.txt
تفرجون neg.txt very_pos.txt
فرج neg.txt very_pos.txt
مفضل neg.txt very_pos.txt
يفرج neg.txt very_pos.txt
تفضيل neg.txt very_pos.txt
مستغني neg.txt very_pos.txt
مالهم negations.txt support_words.txt
اتقوا الله phrases_neg.txt special_phrases.txt
الاستغناء pos.txt neg.txt
مختلف pos.txt neg.txt
تبني pos.txt neg.txt
نظيف pos.txt neg.txt
معونتك pos.txt neg.txt
مفتون pos.txt neg.txt
هدف pos.txt neg.txt
نحلم pos.txt neg.txt
الاكتفاء pos.txt neg.txt
معفيين pos.txt neg.txt
فتنه pos.txt neg.txt
نصيب pos.txt neg.txt
مطلب pos.txt neg.txt
مكتفين pos.txt neg.txt
قضيتنا pos.txt neg.txt
مكتفي pos.txt neg.txt
يدافعون pos.txt neg.txt
مكتفيه pos.txt neg.txt
نفع pos.txt neg.txt
فاتن pos.txt neg.txt
يفتنون pos.txt neg.txt
شهامه pos.txt neg.txt
مساواتنا pos.txt neg.txt
عالي pos.txt support_words.txt
كريم pos.txt very_pos.txt
راقيه pos.txt very_pos.txt
رقوكم pos.txt very_pos.txt
كريمه pos.txt very_pos.txt
حب pos.txt very_pos.txt
يرقونكم pos.txt very_pos.txt
تخلق pos.txt very_pos.txt
ترقية pos.txt very_pos.txt
راقي pos.txt very_pos.txt
يخلقون pos.txt very_pos.txt
راقين pos.txt very_pos.txt
رقوهم pos.txt very_pos.txt
جدير pos.txt very_pos.txt
استغناء pos.txt very_pos.txt
بركه pos.txt very_pos.txt
نخلق pos.txt very_pos.txt
اغنياء pos.txt very_pos.txt
فداء pos.txt very_pos.txt
يرقوني pos.txt very_pos.txt
المحبه pos.txt very_pos.txt
رقوني pos.txt very_pos.txt
خلق pos.txt very_pos.txt
منجزات pos.txt very_pos.txt
ترقيه pos.txt very_pos.txt
كرماء pos.txt very_pos.txt
تبدع pos.txt very_pos.txt
مستبشرين pos.txt very_pos.txt
كفاح pos.txt very_pos.txt
كريمة pos.txt very_pos.txt
ترقيات pos.txt very_pos.txt
يرقونها pos.txt very_pos.txt
تخلقون pos.txt very_pos.txt
الخير pos.txt very_pos.txt
أفضل pos.txt very_pos.txt
فخر pos.txt very_pos.txt
مرموقه pos.txt very_pos.txt
مثابرة pos.txt very_pos.txt
يرقونا pos.txt very_pos.txt
يخلق pos.txt very_pos.txt
راقيات pos.txt very_pos.txt
يرقونهم pos.txt very_pos.txt
ارتقوا pos.txt very_pos.txt
مهارات pos.txt very_pos.txt
تقوى pos.txt very_pos.txt
اتقوا الله special_phrases.txt phrases_neg.txt
مالهم support_words.txt negations.txt
عالي support_words.txt pos.txt
قمه support_words.txt very_pos.txt
نجس very_neg.txt neg.txt
فجرونا very_neg.txt neg.txt
مجحفات very_neg.txt neg.txt
وضيعه very_neg.txt neg.txt
متبليات very_neg.txt neg.txt
محبطه very_neg.txt neg.txt
جاهلين very_neg.txt neg.txt
الاجحاف very_neg.txt neg.txt
فاسدين very_neg.txt neg.txt
العقبات very_neg.txt neg.txt
ابتلاء very_neg.txt neg.txt
ترفض very_neg.txt neg.txt
مستغلينا very_neg.txt neg.txt
بلوه very_neg.txt neg.txt
المصيبه very_neg.txt neg.txt
محاربين very_neg.txt neg.txt
وصخه very_neg.txt neg.txt
اجحافكم very_neg.txt neg.txt
تخريب very_neg.txt neg.txt
يخذلونا very_neg.txt neg.txt
مؤلمه very_neg.txt neg.txt
جشع very_neg.txt neg.txt
قذر very_neg.txt neg.txt
الرشوه very_neg.txt neg.txt
مهانات very_neg.txt neg.txt
حرق very_neg.txt neg.txt
مظلومات very_neg.txt neg.txt
متبلين very_neg.txt neg.txt
مهزله very_neg.txt neg.txt
مفسدين very_neg.txt neg.txt
دايسين very_neg.txt neg.txt
نلوم very_neg.txt neg.txt
الم very_neg.txt neg.txt
طردونا very_neg.txt neg.txt
باغضين very_neg.txt neg.txt
